id,edges,name,type,clusteringCoefficient,betweennessCentrality,distanceToFurthestNode,degree
p8229619,{},"Nicolae, Michael",actor,0.879797979798,0.000875597466507,4.0,100.0
p8229964,{},"Smith, Jordan",actor,0.879797979798,0.000875597466507,4.0,100.0
p2636310,{},"Garcia-Rulfo, Manuel",actor,0.0,0.0,1.0,0.0
p7431474,{},"Sr., Stradford Goins",actor,0.879797979798,0.000875597466507,4.0,100.0
p5090072,"{, 40443, 20}","Centanni, Ron",actor,1.0,0.0,4.0,2.0
p0108703,"{591, m1001562, m010248, 8344, 0736, m0298737, m09724, 06, m0109893, 6846,  m0106557, 256415, m1235099, m21834,  m1489428, m0118867, 4, 324, m19992, m0804432, 811, m0138993, m2274304, m3268422, 349, m0247082, m134707, m0401088, m0113293, m119, m16668, m3203606, m0244953, m0114039, m0113873, m0120089, m0368479, m0462232, m0112835, 4549, 9, 40421, 2979,  8, 1496, m0108049, m0844, 226, 27839, m171420, 95, m0830900, 1880, 20}","Bridgers, Sean",director/actor,0.290909090909,0.0101981268429,3.0,11.0
p7634925,{},"Montes, Gustavo",actor,0.879797979798,0.000875597466507,4.0,100.0
p7508045,{},"Easterling, Terence",actor,0.879797979798,0.000875597466507,4.0,100.0
p5041286,"{3, 3367, 29}","Santiago, Johnny",actor,0.0,0.0,1.0,0.0
p7536044,{},"Bickham, Charles",actor,0.879797979798,0.000875597466507,4.0,100.0
